n,processes,serial_time,mpi_time,speedup,efficiency
60000000,1,29.310640402,29.104027166,1.007099,1.007099
60000000,2,29.310640402,14.311385828,2.048064,1.024032
60000000,4,29.310640402,9.837384918,2.979515,0.744879
60000000,8,29.310640402,5.763157143,5.085865,0.635733
60000000,16,29.310640402,4.525524846,6.476738,0.404796
